,day,month,quarter,year,Predicted_Quantity,Predicted_Product_ID,Projected_outlier_flag
0,1,1,1,2004,14,AM-1-025RP,0
1,2,1,1,2004,11,ARVB-12X12X4-PC,0
2,3,1,1,2004,11,A63916,0
3,4,1,1,2004,14,AM101C-1LF,0
4,5,1,1,2004,13,ARD20TZ,0
5,6,1,1,2004,12,ACQ73019508,0
6,7,1,1,2004,14,ARVB-12X12X4-PC,0
7,8,1,1,2004,17,AP12938,0
8,9,1,1,2004,11,AFB24-MFT-S,0
9,10,1,1,2004,12,AP11309T-1,0
10,11,1,1,2004,15,AT175F1031,0
11,12,1,1,2004,17,B13400704ABS,0
12,13,1,1,2004,17,B0189001,0
13,14,1,1,2004,15,B1370209,0
14,15,1,1,2004,14,AP10874HH-2,0
15,16,1,1,2004,15,APIF150,0
16,17,1,1,2004,13,AM38409-1AE,0
17,18,1,1,2004,14,AYAGALA01A,0
18,19,1,1,2004,15,AM-321,0
19,20,1,1,2004,15,ASVB-12X12X6-SS,0
20,21,1,1,2004,18,AM101R-US-1,0
21,22,1,1,2004,17,AMS24A300,0
22,23,1,1,2004,12,B305,0
23,24,1,1,2004,14,B07005,0
24,25,1,1,2004,13,B-260,0
25,26,1,1,2004,17,B76,0
26,27,1,1,2004,18,AX54,0
27,28,1,1,2004,17,B2YA-8916,0
28,29,1,1,2004,15,AP16732-3,0
29,30,1,1,2004,17,ATT19,0
30,31,1,1,2004,13,B5269,0
31,1,2,1,2004,17,B8-12A-F,0
32,2,2,1,2004,18,BLHN-1080,0
33,3,2,1,2004,17,B173,0
34,4,2,1,2004,17,B1037485S,0
35,5,2,1,2004,18,A6151000,0
36,6,2,1,2004,13,BLHN-20100,0
37,7,2,1,2004,13,BLN150-3000,0
38,8,2,1,2004,19,BLN-0360,0
39,9,2,1,2004,19,BGQ15HAA-1C,0
40,10,2,1,2004,15,AX41,0
41,11,2,1,2004,19,AWN400PM,0
42,12,2,1,2004,15,B-VFH12MA-1,0
43,13,2,1,2004,15,AP12941,0
44,14,2,1,2004,12,AE-101588-03,0
45,15,2,1,2004,17,B2589342,0
46,16,2,1,2004,14,AP14199D,0
47,17,2,1,2004,15,AP13242,0
48,18,2,1,2004,18,97016449,0
49,19,2,1,2004,13,96303,0
50,20,2,1,2004,19,9002226005,0
51,21,2,1,2004,18,A1252000,0
52,22,2,1,2004,17,96404951,0
53,23,2,1,2004,20,927-8W,0
54,24,2,1,2004,17,99246,0
55,25,2,1,2004,18,96411613,0
56,26,2,1,2004,17,9300-2052RP,0
57,27,2,1,2004,15,918-0052-00,0
58,28,2,1,2004,12,94022,0
59,29,2,1,2004,12,94022,0
60,1,3,1,2004,19,9422P,0
61,2,3,1,2004,21,937-763020101,0
62,3,3,1,2004,18,96414028,0
63,4,3,1,2004,19,94020,0
64,5,3,1,2004,15,A2VA-7116,0
65,6,3,1,2004,15,A22-392,0
66,7,3,1,2004,17,9431A,0
67,8,3,1,2004,19,93031,0
68,9,3,1,2004,18,96402730,0
69,10,3,1,2004,21,A22-2237,0
70,11,3,1,2004,17,95547,0
71,12,3,1,2004,15,913852,0
72,13,3,1,2004,18,A-4000-1037,0
73,14,3,1,2004,28,98420223,0
74,15,3,1,2004,18,A19AAF-21C,0
75,16,3,1,2004,19,9433A,0
76,17,3,1,2004,19,A-DVC12SD-0,0
77,18,3,1,2004,18,99311,0
78,19,3,1,2004,14,9008269015,0
79,20,3,1,2004,16,950267,0
80,21,3,1,2004,18,98996441,0
81,22,3,1,2004,17,9F30213,0
82,23,3,1,2004,17,A65751,0
83,24,3,1,2004,22,A-050P,0
84,25,3,1,2004,18,96404963,0
85,26,3,1,2004,15,A99BB-300C,0
86,27,3,1,2004,18,93447,0
87,28,3,1,2004,17,96L74,0
88,29,3,1,2004,21,94001,0
89,30,3,1,2004,19,99M69,0
90,31,3,1,2004,18,A165,0
91,1,4,2,2004,17,93353,0
92,2,4,2,2004,17,A142,0
93,3,4,2,2004,19,98G89,0
94,4,4,2,2004,18,9F30220,0
95,5,4,2,2004,17,998-0002-02,0
96,6,4,2,2004,17,A2771050,0
97,7,4,2,2004,21,9F30213,0
98,8,4,2,2004,20,96512,0
99,9,4,2,2004,17,A11B-1C,0
100,10,4,2,2004,18,A2803250,0
101,11,4,2,2004,16,A03717,0
102,12,4,2,2004,19,97525909,0
103,13,4,2,2004,18,97010255,0
104,14,4,2,2004,19,96409266,0
105,15,4,2,2004,19,9515,0
106,16,4,2,2004,14,903574P,0
107,17,4,2,2004,14,9WM60,0
108,18,4,2,2004,20,93520,0
109,19,4,2,2004,24,9008264005,0
110,20,4,2,2004,22,96301,0
111,21,4,2,2004,24,A2620050,0
112,22,4,2,2004,18,ACV125,0
113,23,4,2,2004,16,9003629005,0
114,24,4,2,2004,18,98126800,0
115,25,4,2,2004,18,950-0013,0
116,26,4,2,2004,16,92545,0
117,27,4,2,2004,22,A1251500,0
118,28,4,2,2004,18,94635,0
119,29,4,2,2004,18,950337,0
120,30,4,2,2004,17,908-042,0
121,1,5,2,2004,18,9070,0
122,2,5,2,2004,28,A276,0
123,3,5,2,2004,21,A1140313,0
124,4,5,2,2004,18,94767,0
125,5,5,2,2004,23,A7015050,0
126,6,5,2,2004,16,A2640006,0
127,7,5,2,2004,16,96806135,0
128,8,5,2,2004,17,92307,0
129,9,5,2,2004,17,93249,0
130,10,5,2,2004,21,950-4020,0
131,11,5,2,2004,22,96402708,0
132,12,5,2,2004,24,A241,0
133,13,5,2,2004,26,93442,0
134,14,5,2,2004,19,950-0680,0
135,15,5,2,2004,16,A60010,0
136,16,5,2,2004,19,94540,0
137,17,5,2,2004,19,A1921000,0
138,18,5,2,2004,22,9431A,0
139,19,5,2,2004,18,9007996005,0
140,20,5,2,2004,18,A1252000,0
141,21,5,2,2004,18,96404953,0
142,22,5,2,2004,17,97043,0
143,23,5,2,2004,19,99626,0
144,24,5,2,2004,22,97724,0
145,25,5,2,2004,20,9656,0
146,26,5,2,2004,20,A00,0
147,27,5,2,2004,19,99307,0
148,28,5,2,2004,15,A133,0
149,29,5,2,2004,13,A04006,0
150,30,5,2,2004,13,9618A,0
151,31,5,2,2004,16,96402708,0
152,1,6,2,2004,22,96734640,0
153,2,6,2,2004,19,9431A,0
154,3,6,2,2004,30,96406965,0
155,4,6,2,2004,18,AM-686,0
156,5,6,2,2004,20,A30-X453,0
157,6,6,2,2004,17,92120-T,0
158,7,6,2,2004,17,A435-12,0
159,8,6,2,2004,23,93080,0
160,9,6,2,2004,21,A30-544,0
161,10,6,2,2004,21,A2,0
162,11,6,2,2004,14,A2670601,0
163,12,6,2,2004,18,AE24L=3,0
164,13,6,2,2004,19,97896335,0
165,14,6,2,2004,18,93843,0
166,15,6,2,2004,20,92305,0
167,16,6,2,2004,20,A174,0
168,17,6,2,2004,22,9218,0
169,18,6,2,2004,15,AG-9150E,0
170,19,6,2,2004,24,9008264005,0
171,20,6,2,2004,20,902898A,0
172,21,6,2,2004,29,9998SL4,0
173,22,6,2,2004,23,97556,0
174,23,6,2,2004,30,9432A,0
175,24,6,2,2004,34,97016449,0
176,25,6,2,2004,19,93526,0
177,26,6,2,2004,16,A19ABC-12C,0
178,27,6,2,2004,21,99080152,0
179,28,6,2,2004,16,A91282,0
180,29,6,2,2004,20,98652420,0
181,30,6,2,2004,17,A135,0
182,1,7,3,2004,19,A2610100,0
183,2,7,3,2004,17,B1W60,0
184,3,7,3,2004,14,9F10238,0
185,4,7,3,2004,20,A5700750,0
186,5,7,3,2004,21,A30-3618,0
187,6,7,3,2004,18,AEB72918514,0
188,7,7,3,2004,18,AFB24-MFT,0
189,8,7,3,2004,21,A1142000,0
190,9,7,3,2004,12,A2620013,0
191,10,7,3,2004,15,A6161250,0
192,11,7,3,2004,16,96409266,0
193,12,7,3,2004,19,A136,0
194,13,7,3,2004,20,A05008,0
195,14,7,3,2004,19,A177,0
196,15,7,3,2004,19,A-050P,0
197,16,7,3,2004,15,98052802,0
198,17,7,3,2004,11,A19BAB-3C,0
199,18,7,3,2004,25,A80105,0
200,19,7,3,2004,19,ABQ69363929,0
201,20,7,3,2004,24,96L75,0
202,21,7,3,2004,19,A6141500,0
203,22,7,3,2004,23,ACC0400,0
204,23,7,3,2004,18,92710-S,0
205,24,7,3,2004,20,A419ABG-3C,0
206,25,7,3,2004,20,A49,0
207,26,7,3,2004,18,A421AEC-1C,0
208,27,7,3,2004,20,AK150LS,0
209,28,7,3,2004,19,AL-181,0
210,29,7,3,2004,17,A60704,0
211,30,7,3,2004,14,AB-1,0
212,31,7,3,2004,14,A19AAB-38C,0
213,1,8,3,2004,18,98274018,0
214,2,8,3,2004,21,A07032,0
215,3,8,3,2004,26,950-0013,0
216,4,8,3,2004,19,94H80,0
217,5,8,3,2004,22,92321,0
218,6,8,3,2004,14,93403,0
219,7,8,3,2004,19,985-5,0
220,8,8,3,2004,17,951-2491RP,0
221,9,8,3,2004,18,AEE60422SS,0
222,10,8,3,2004,22,A3070526,0
223,11,8,3,2004,19,A284,0
224,12,8,3,2004,16,9791,0
225,13,8,3,2004,14,A2700602,0
226,14,8,3,2004,15,9006423005,0
227,15,8,3,2004,37,99M69,0
228,16,8,3,2004,14,A184,0
229,17,8,3,2004,19,96402733,0
230,18,8,3,2004,16,A1251000,0
231,19,8,3,2004,15,97525905,0
232,20,8,3,2004,20,A69,0
233,21,8,3,2004,15,AM100R-UT-1,0
234,22,8,3,2004,16,97855091,0
235,23,8,3,2004,16,97012029A,0
236,24,8,3,2004,17,9107-SS,0
237,25,8,3,2004,18,AC3600/1,0
238,26,8,3,2004,16,912-0075,0
239,27,8,3,2004,14,99258,0
240,28,8,3,2004,14,A-VMH18SD-1,0
241,29,8,3,2004,21,A2771251,0
242,30,8,3,2004,17,903774,0
243,31,8,3,2004,20,A329,0
244,1,9,3,2004,18,98G89,0
245,2,9,3,2004,17,A141,0
246,3,9,3,2004,18,97013836,0
247,4,9,3,2004,15,98393361,0
248,5,9,3,2004,16,96860207,0
249,6,9,3,2004,20,96404966,0
250,7,9,3,2004,20,997-020201104001,0
251,8,9,3,2004,19,998-0520-00,0
252,9,9,3,2004,20,96409355,0
253,10,9,3,2004,13,97855083,0
254,11,9,3,2004,16,98126819,0
255,12,9,3,2004,16,9998SL4,0
256,13,9,3,2004,19,97855085,0
257,14,9,3,2004,19,94A10301,0
258,15,9,3,2004,18,98420210,0
259,16,9,3,2004,17,96161,0
260,17,9,3,2004,13,903096,0
261,18,9,3,2004,11,92520,0
262,19,9,3,2004,16,93060,0
263,20,9,3,2004,16,98996439,0
264,21,9,3,2004,21,903076,0
265,22,9,3,2004,17,A3201515,0
266,23,9,3,2004,19,912-3075-02,0
267,24,9,3,2004,16,921488,0
268,25,9,3,2004,13,972-18,0
269,26,9,3,2004,20,9003381005,0
270,27,9,3,2004,20,94514,0
271,28,9,3,2004,20,904062P,0
272,29,9,3,2004,16,9005043115,0
273,30,9,3,2004,18,9008136005,0
274,1,10,4,2004,15,886-RQ,0
275,2,10,4,2004,11,9004761105,0
276,3,10,4,2004,13,915-0006,0
277,4,10,4,2004,15,950-0265-01,0
278,5,10,4,2004,14,9005922105,0
279,6,10,4,2004,14,96409265,0
280,7,10,4,2004,16,97011851,0
281,8,10,4,2004,11,A0063300,0
282,9,10,4,2004,14,9004749115,0
283,10,10,4,2004,14,90214,0
284,11,10,4,2004,14,97637,0
285,12,10,4,2004,17,920672,0
286,13,10,4,2004,16,9300-2044RP,0
287,14,10,4,2004,14,94001,0
288,15,10,4,2004,13,92560,0
289,16,10,4,2004,14,9005715205,0
290,17,10,4,2004,15,903596,0
291,18,10,4,2004,14,9008871005,0
292,19,10,4,2004,18,940-C411-91,0
293,20,10,4,2004,15,94H80,0
294,21,10,4,2004,17,950-4020,0
295,22,10,4,2004,14,92380,0
296,23,10,4,2004,11,96101,0
297,24,10,4,2004,15,92305,0
298,25,10,4,2004,14,96402785,0
299,26,10,4,2004,15,9008027005,0
300,27,10,4,2004,14,951-3161BRP,0
301,28,10,4,2004,15,9314,0
302,29,10,4,2004,13,9107-ST,0
303,30,10,4,2004,13,92307,0
304,31,10,4,2004,14,92293,0
305,1,11,4,2004,15,9007015005,0
306,2,11,4,2004,16,9432A,0
307,3,11,4,2004,17,950-0452,0
308,4,11,4,2004,15,98118,0
309,5,11,4,2004,14,9F10247,0
310,6,11,4,2004,14,9600A,0
311,7,11,4,2004,16,99260,0
312,8,11,4,2004,15,95M55,0
313,9,11,4,2004,15,96411794,0
314,10,11,4,2004,16,901282,0
315,11,11,4,2004,18,97523136,0
316,12,11,4,2004,12,9006458005,0
317,13,11,4,2004,14,A204,0
318,14,11,4,2004,17,95141,0
319,15,11,4,2004,16,96633576,0
320,16,11,4,2004,15,998-0510-26,0
321,17,11,4,2004,19,A090,0
322,18,11,4,2004,16,97006651,0
323,19,11,4,2004,17,95606,0
324,20,11,4,2004,14,902824,0
325,21,11,4,2004,12,9007984005,0
326,22,11,4,2004,14,95604,0
327,23,11,4,2004,17,92420-REDFLAG,0
328,24,11,4,2004,14,90420,0
329,25,11,4,2004,14,9004920215,0
330,26,11,4,2004,9,96526663,0
331,27,11,4,2004,10,869-SF4,0
332,28,11,4,2004,15,92L83,0
333,29,11,4,2004,22,9F30225,0
334,30,11,4,2004,16,97535,0
335,1,12,4,2004,15,92305,0
336,2,12,4,2004,12,917166B,0
337,3,12,4,2004,10,A19ABC-24C,0
338,4,12,4,2004,12,9656,0
339,5,12,4,2004,14,972-34,0
340,6,12,4,2004,16,9605A,0
341,7,12,4,2004,17,97855093,0
342,8,12,4,2004,15,9070,0
343,9,12,4,2004,13,94083,0
344,10,12,4,2004,14,92010-ST,0
345,11,12,4,2004,10,94021,0
346,12,12,4,2004,17,96307,0
347,13,12,4,2004,14,91128524,0
348,14,12,4,2004,18,95-102925-03,0
349,15,12,4,2004,15,93055,0
350,16,12,4,2004,16,985167,0
351,17,12,4,2004,10,9004975105,0
352,18,12,4,2004,12,9420A,0
353,19,12,4,2004,11,9007607005,0
354,20,12,4,2004,14,96402784,0
355,21,12,4,2004,19,A-DVH18SD-1,0
356,22,12,4,2004,22,96973109,0
357,23,12,4,2004,12,A2RA-7720,0
358,24,12,4,2004,12,9001453005,0
359,25,12,4,2004,18,98996400,0
360,26,12,4,2004,14,99244,0
361,27,12,4,2004,16,A421GEF-01C,0
362,28,12,4,2004,14,97570,0
363,29,12,4,2004,16,A177,0
364,30,12,4,2004,13,97534,0
365,31,12,4,2004,15,9WM60HE,0
